Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10000,2021-06-24,2021-06-30,Standard Class,CUST-1078,Rahul Verma,Corporate,United States,Aurora,Illinois,60205,Central,PROD-5000,Office Supplies,Paper,Paper Model 711,310.84,5,0.17,57.94
ORD-10001,2021-05-12,2021-05-13,Same Day,CUST-1213,Alex Smith,Corporate,United States,Seattle,Washington,37110,West,PROD-5001,Office Supplies,Storage,Storage Model 853,36.32,1,0.03,2.81
ORD-10002,2021-05-06,2021-05-07,Same Day,CUST-1004,Chen Li,Home Office,United States,Greensboro,North Carolina,49139,South,PROD-5002,Furniture,Furnishings,Furnishings Model 772,1547.21,5,0.16,22.57
ORD-10003,2021-05-06,2021-05-12,Same Day,CUST-1113,Emily Davis,Home Office,United States,Greensboro,North Carolina,67125,South,PROD-5003,Technology,Accessories,Accessories Model 498,5983.85,7,0.25,1193.31
ORD-10004,2021-09-27,2021-09-30,Standard Class,CUST-1240,Priya Kumar,Home Office,United States,Pittsburgh,Pennsylvania,91560,East,PROD-5004,Technology,Machines,Machines Model 547,1550.02,4,0.21,411.41
ORD-10005,2021-07-15,2021-07-17,Second Class,CUST-1330,Aarav Singh,Home Office,United States,Allentown,Pennsylvania,27786,East,PROD-5005,Technology,Phones,Phones Model 888,206.99,1,0.04,34.7
ORD-10006,2021-04-22,2021-04-24,Standard Class,CUST-1233,Chen Li,Corporate,United States,Atlanta,Georgia,54236,South,PROD-5006,Office Supplies,Storage,Storage Model 780,308.17,7,0.01,96.48
ORD-10007,2021-06-28,2021-06-30,Second Class,CUST-1384,Noah Brown,Corporate,United States,Montgomery,Alabama,16826,South,PROD-5007,Furniture,Furnishings,Furnishings Model 975,847.68,2,0.03,242.25
ORD-10008,2021-06-06,2021-06-12,Second Class,CUST-1127,Rahul Verma,Consumer,United States,Naperville,Illinois,12671,Central,PROD-5008,Technology,Phones,Phones Model 637,914.18,2,0.13,240.98
ORD-10009,2021-02-19,2021-02-20,Standard Class,CUST-1239,Emily Davis,Corporate,United States,Seattle,Washington,58351,West,PROD-5009,Technology,Phones,Phones Model 172,3986.83,6,0.19,756.89
ORD-10010,2021-03-26,2021-04-01,First Class,CUST-1295,Aarav Singh,Consumer,United States,Cambridge,Massachusetts,61990,East,PROD-5010,Technology,Phones,Phones Model 965,2094.93,3,0.03,599.85
ORD-10011,2021-06-11,2021-06-17,Second Class,CUST-1357,Emily Davis,Home Office,United States,San Diego,California,99687,West,PROD-5011,Technology,Accessories,Accessories Model 615,137.18,1,0.1,37.34
ORD-10012,2021-09-16,2021-09-21,Second Class,CUST-1260,Chen Li,Home Office,United States,Buffalo,New York,11658,East,PROD-5012,Office Supplies,Storage,Storage Model 870,122.68,3,0.27,7.15
ORD-10013,2021-05-06,2021-05-07,Standard Class,CUST-1223,Priya Kumar,Corporate,United States,Charlotte,North Carolina,78386,South,PROD-5013,Office Supplies,Appliances,Appliances Model 989,377.79,8,0.28,86.13
ORD-10014,2021-04-18,2021-04-23,First Class,CUST-1126,Jordan Lee,Corporate,United States,Saint Paul,Minnesota,46559,Central,PROD-5014,Technology,Copiers,Copiers Model 903,2317.62,5,0.17,4.17
ORD-10015,2021-05-28,2021-06-01,First Class,CUST-1015,Sophia Patel,Home Office,United States,Savannah,Georgia,52600,South,PROD-5015,Technology,Machines,Machines Model 187,264.03,1,0.18,77.5
ORD-10016,2021-04-15,2021-04-16,First Class,CUST-1285,Alex Smith,Corporate,United States,Savannah,Georgia,77715,South,PROD-5016,Office Supplies,Storage,Storage Model 971,70.26,2,0.01,15.0
ORD-10017,2021-05-02,2021-05-03,Standard Class,CUST-1354,Sophia Patel,Home Office,United States,Los Angeles,California,94659,West,PROD-5017,Office Supplies,Appliances,Appliances Model 729,286.06,4,0.17,15.85
ORD-10018,2021-05-20,2021-05-21,Same Day,CUST-1355,Rahul Verma,Consumer,United States,Charlotte,North Carolina,50135,South,PROD-5018,Office Supplies,Binders,Binders Model 680,223.92,5,0.04,59.63
ORD-10019,2021-03-24,2021-03-26,First Class,CUST-1181,Sophia Patel,Home Office,United States,Rochester,Minnesota,45509,Central,PROD-5019,Office Supplies,Appliances,Appliances Model 314,64.35,3,0.04,5.32
ORD-10020,2021-07-20,2021-07-22,Second Class,CUST-1381,Noah Brown,Home Office,United States,Chicago,Illinois,34267,Central,PROD-5020,Furniture,Bookcases,Bookcases Model 197,2102.01,4,0.06,626.1
ORD-10021,2021-03-16,2021-03-21,Second Class,CUST-1100,Emily Davis,Home Office,United States,Reno,Nevada,39816,West,PROD-5021,Technology,Copiers,Copiers Model 370,1929.12,2,0.07,294.74
ORD-10022,2021-03-12,2021-03-17,First Class,CUST-1024,Alex Smith,Home Office,United States,Portland,Oregon,82529,West,PROD-5022,Technology,Accessories,Accessories Model 300,334.52,1,0.23,58.11
ORD-10023,2021-06-03,2021-06-04,Same Day,CUST-1246,Sophia Patel,Consumer,United States,Las Vegas,Nevada,54657,West,PROD-5023,Technology,Copiers,Copiers Model 189,2802.57,8,0.11,519.72
ORD-10024,2021-07-13,2021-07-18,Same Day,CUST-1038,Olivia Garcia,Consumer,United States,Virginia Beach,Virginia,92502,East,PROD-5024,Furniture,Furnishings,Furnishings Model 703,2476.71,7,0.22,160.85
ORD-10025,2021-06-01,2021-06-03,Standard Class,CUST-1061,Noah Brown,Home Office,United States,Boston,Massachusetts,64548,East,PROD-5025,Office Supplies,Paper,Paper Model 621,298.12,4,0.1,12.85
ORD-10026,2021-05-13,2021-05-19,First Class,CUST-1292,Olivia Garcia,Corporate,United States,Reno,Nevada,17894,West,PROD-5026,Office Supplies,Appliances,Appliances Model 625,128.08,2,0.05,34.78
ORD-10027,2021-05-02,2021-05-08,Standard Class,CUST-1123,Priya Kumar,Consumer,United States,Springfield,Massachusetts,82350,East,PROD-5027,Office Supplies,Paper,Paper Model 77,229.68,4,0.18,9.24
ORD-10028,2021-04-23,2021-04-29,First Class,CUST-1017,Rahul Verma,Corporate,United States,San Francisco,California,47762,West,PROD-5028,Technology,Machines,Machines Model 724,523.43,1,0.09,105.98
ORD-10029,2021-08-09,2021-08-14,Standard Class,CUST-1218,Jordan Lee,Home Office,United States,Minneapolis,Minnesota,81376,Central,PROD-5029,Furniture,Bookcases,Bookcases Model 231,680.26,2,0.12,95.49
ORD-10030,2021-06-12,2021-06-16,First Class,CUST-1305,Olivia Garcia,Consumer,United States,Portland,Oregon,47828,West,PROD-5030,Furniture,Tables,Tables Model 450,1117.32,5,0.16,283.73
ORD-10031,2021-04-27,2021-04-29,First Class,CUST-1257,Noah Brown,Corporate,United States,Allentown,Pennsylvania,74722,East,PROD-5031,Technology,Machines,Machines Model 449,14.66,1,0.22,2.35
ORD-10032,2021-04-11,2021-04-15,Second Class,CUST-1047,Rahul Verma,Home Office,United States,Buffalo,New York,98381,East,PROD-5032,Office Supplies,Storage,Storage Model 857,105.97,2,0.01,14.48
ORD-10033,2021-07-03,2021-07-08,Same Day,CUST-1143,Priya Kumar,Consumer,United States,Arlington,Virginia,86720,East,PROD-5033,Furniture,Furnishings,Furnishings Model 447,216.61,1,0.2,52.55
ORD-10034,2021-08-07,2021-08-10,First Class,CUST-1344,Jordan Lee,Corporate,United States,Orlando,Florida,31079,South,PROD-5034,Office Supplies,Storage,Storage Model 338,78.86,4,0.05,5.92
ORD-10035,2021-07-29,2021-08-05,Same Day,CUST-1046,Chen Li,Home Office,United States,Raleigh,North Carolina,43082,South,PROD-5035,Office Supplies,Paper,Paper Model 332,35.67,1,0.12,5.81
ORD-10036,2021-04-03,2021-04-10,Same Day,CUST-1028,Rahul Verma,Consumer,United States,Allentown,Pennsylvania,77952,East,PROD-5036,Technology,Machines,Machines Model 371,2390.22,6,0.05,521.23
ORD-10037,2021-05-01,2021-05-02,First Class,CUST-1225,Sophia Patel,Consumer,United States,Charlotte,North Carolina,25915,South,PROD-5037,Office Supplies,Binders,Binders Model 30,92.01,3,0.14,18.87
ORD-10038,2021-04-22,2021-04-29,Second Class,CUST-1116,Jordan Lee,Home Office,United States,Spokane,Washington,70482,West,PROD-5038,Furniture,Furnishings,Furnishings Model 970,309.68,2,0.08,92.25
ORD-10039,2021-05-09,2021-05-16,Same Day,CUST-1248,Sophia Patel,Home Office,United States,Cambridge,Massachusetts,41946,East,PROD-5039,Office Supplies,Storage,Storage Model 468,26.39,1,0.02,7.17
ORD-10040,2021-07-19,2021-07-21,Second Class,CUST-1142,Aarav Singh,Home Office,United States,Las Vegas,Nevada,54548,West,PROD-5040,Technology,Accessories,Accessories Model 957,2760.19,5,0.07,107.88
ORD-10041,2021-09-05,2021-09-11,Standard Class,CUST-1229,Noah Brown,Home Office,United States,Dallas,Texas,73483,Central,PROD-5041,Office Supplies,Appliances,Appliances Model 354,19.33,1,0.11,2.71
ORD-10042,2021-06-14,2021-06-18,Same Day,CUST-1120,Aarav Singh,Corporate,United States,Saint Paul,Minnesota,15720,Central,PROD-5042,Furniture,Tables,Tables Model 326,1153.38,4,0.07,357.6
ORD-10043,2021-04-13,2021-04-16,Same Day,CUST-1019,Priya Kumar,Home Office,United States,Raleigh,North Carolina,75836,South,PROD-5043,Technology,Accessories,Accessories Model 989,1524.42,4,0.09,154.04
ORD-10044,2021-05-18,2021-05-21,Second Class,CUST-1370,Priya Kumar,Consumer,United States,Dallas,Texas,63736,Central,PROD-5044,Technology,Machines,Machines Model 892,2669.7,4,0.03,481.03
ORD-10045,2021-09-25,2021-09-27,Second Class,CUST-1169,Noah Brown,Corporate,United States,San Francisco,California,59808,West,PROD-5045,Office Supplies,Appliances,Appliances Model 978,52.24,1,0.11,6.37
ORD-10046,2021-05-26,2021-05-28,Standard Class,CUST-1324,Emily Davis,Consumer,United States,Rochester,Minnesota,39817,Central,PROD-5046,Technology,Phones,Phones Model 765,646.97,1,0.02,130.05
